Maïté CARRIVE-BEDOUANI,et Hugues ORSOLIN,NUPES,Yvelines - 2ème,22.66%
Marie-Charlotte Garin,et Boris Miachon-Debard,NUPES,Rhone - 3ème,43.68%
Cédric Villani,et Servane Charpentier,NUPES,Essonne - 5ème,38.20%
Noé Gauchard,et Dominique Rilhac,NUPES,Calvados - 6ème,24.53%
Jean-François COULOMME,et Sarah HAMOUDI-WILKOWSKY,NUPES,Savoie - 4ème,34.45%
Sandro Rato,et Jeanne Villain,NUPES,Hauts-De-Seine - 7ème,18.42%
Jean-Yves Lalanne,et Stéphanie Maza,NUPES,Pyrenees-Atlantiques - 1ère,31.78%
Christelle Petex-Levet,et Christophe Fournier,Les républicains,Haute-Savoie - 3ème,23.01%
Evelyne BOURGOIN,et Lila CHATELAIN-KHECHACHE,NUPES,Marne - 1ère,24.19%
Jean-François Coulomme,et Sarah Hamoudi-Wilkowsky,NUPES,Savoie - 4ème,34.45%
Damien GIRARD,et Florence GOURLAY,NUPES,Morbihan - 5ème,31.47%
Stéphane BUCHOU,et Orlane ROZO-LUCAS,Ensemble !,Vendee - 3ème,36.07%
STELLA DUPONT,et SEBASTIEN BOUSSION,Ensemble !,Maine-Et-Loire - 2ème,39.73%
Paul Vannier,et Laurence Conan,NUPES,Val-D'oise - 5ème,44.80%
Sandra Regol,et Lucas Leloup,NUPES,Bas-Rhin - 1ère,38.07%
Gabrielle Cathala,et Catherine David,NUPES,Val-D'oise - 6ème,29.84%
Cathy THOMAS,et Robin HUART,NUPES,Hauts-De-Seine - 12ème,29.72%
Élise Leboucher,et Florence Gibert,NUPES,Sarthe - 4ème,21.87%
Annaïg Le Meur,et Gwenola Bayes,Ensemble !,Finistere - 1ère,35.49%
Francesca PASQUINI,et Léopold Michallet,NUPES,Hauts-De-Seine - 2ème,27.41%
Sylvie Geoffroy-martin,et Sylvain Berthe,NUPES,Val-D'oise - 2ème,27.10%
Ségolène AMIOT,et Olivier Magré,NUPES,Loire-Atlantique - 3ème,42.87%
Victorien Lachas,et Juliette Espargilière,Ensemble !,Val-D'oise - 10ème,23.46%
david lorion,et Emma Hoareau,Les républicains,La Reunion - 4ème,32.48%
Hadrien Clouet,et Aline Combres,NUPES,Haute-Garonne - 1ère,39.79%
Baï-Audrey Achidi,et Fabien Leclère,Ensemble !,Hauts-De-Seine - 2ème,26.79%
Catherine Cestari,et Muriel Zago,NUPES,Gironde - 1ère,27.31%
Michel Larive,et Laetitia Sentenac,NUPES,Ariege - 2ème,29.05%
Ophelie Delneste,et Michael Godefroy,NUPES,Nord - 5ème,24.98%
Agathe Roby,et Aurélien Taravella,NUPES,Haute-Garonne - 3ème,31.60%
Nicolas Bonnet,et Elisabeth Crozet,NUPES,Puy-De-Dome - 3ème,30.08%
Julien Dive,et Marie-Laurence Maitre,Les républicains,Aisne - 2ème,35.91%
Béatrice Piron,et Marc Sévely,Ensemble !,Yvelines - 3ème,39.73%
Emilie Ducourant,et Pol Hovine,NUPES,Nord - 15ème,20.03%
Arnaud Saint-Martin,et Armelle Cuny,NUPES,Seine-Et-Marne - 1ère,27.68%
Karima Chouia,et DE VEYLDER BERNARD,NUPES,Nord - 7ème,26.41%
Octave Delepiere,et Nathalie Sedou,NUPES,Nord - 4ème,27.65%
Pierre Baudis,et Dalila Cousin,Ensemble !,Haute-Garonne - 1ère,28.05%
Odile Martin-Cocher,et Pierre Gilibert,NUPES,Haute-Savoie - 5ème,21.86%
Fabien Robert,et Frédérique Fabre Tabourin,Ensemble !,Gironde - 3ème,29.46%
Edwin LEGRIS,et Félicien Marguerettaz,NUPES,Yvelines - 12ème,24.10%
Guillaume JOUANNEAU,et Marie MEZIERE-FORTIN,NUPES,Maine-Et-Loire - 7ème,30.32%
ENZO GIUSTI,et Mireille DAMIANO,NUPES,Alpes-Maritimes - 3ème,21.95%
Renaud Le Berre,et Isabelle Dantas,NUPES,Français de l’étranger - 5ème,27.89%
Sylvie Espagnolle,et Franck De Figueiredo,NUPES,Haute-Garonne - 5ème,27.85%
Jean-michel Baudry,et Claudette HERVAULT,NUPES,Morbihan - 6ème,26.08%
Karol Kirchner,et Margot Balech,NUPES,Morbihan - 2ème,24.87%
Anthony Brondel,et Rachel Outhier,NUPES,Jura - 1ère,28.40%
Octave Delepiere,et Nathalie Sedou,NUPES,Nord - 4ème,27.65%
Marina Mesure,et Jimmy Bessaih,NUPES,Bouches-Du-Rhone - 10ème,21.67%
Sabine Lalande,et Olivier Lejemble,NUPES,Loire-Atlantique - 5ème,32.72%
Anne Brugnera,et Abdel Achache,Ensemble !,Rhone - 4ème,34.10%
Emilie Ducourant,et Pol Hovine,NUPES,Nord - 15ème,20.03%
Emmanuel Fernandes,et Marianne Berçot,NUPES,Bas-Rhin - 2ème,36.89%
Florence LOURY,et Claire LAROCHE-FONTAINE,NUPES,Yonne - 1ère,24.25%
Vincent Rolland,et Frédéric BURNIER FRAMBORET,Les républicains,Savoie - 2ème,30.80%
NADHERA BELETRECHE,et SAMI HEDJEM,NUPES,Essonne - 9ème,32.44%
Stéphane MAZARS,et Pauline CESTRIERES,Ensemble !,Aveyron - 1ère,42.46%
Hervé SAULIGNAC,et Alexandra DEVE COLLETTE,NUPES,Ardeche - 1ère,38.28%
Eric Woerth,et Véronique Ludmann,Ensemble !,Oise - 4ème,27.00%
Valérie Gomez-Bassac,et Philippe VALLOT,Ensemble !,Var - 6ème,24.20%
Emmanuel DUPLESSY,et Magali SAUTREUIL,NUPES,Loiret - 2ème,25.12%
Jean-Renaud FERRAN,et Gabrièle SIBIRIL,NUPES,Gironde - 7ème,34.51%
Berangere Abba,et Stéphane Martinelli,Ensemble !,Haute-Marne - 1ère,21.15%
Marie LEBEC,et Denis Bernaert,Ensemble !,Yvelines - 4ème,42.34%
Anne Stambach-Terrenoir,et Julien Cadieu,NUPES,Haute-Garonne - 2ème,37.25%
Céline Malaisé,et Léa Michaut,NUPES,Paris - 12ème,22.34%
Catherine COUTURIER,et Arnaud CHAPAL,NUPES,Creuse - 1ère,26.37%
JEAN-LUC BOURGEAUX,et GILLES LURTON,Les républicains,Ille-Et-Vilaine - 7ème,25.42%
